time,CAN_ID,CAN_byte[0],CAN_byte[1],CAN_byte[2],CAN_byte[3],CAN_byte[4],CAN_byte[5],CAN_byte[6],CAN_byte[7],RPM,Gear,BatteryVoltage,OilPressure,Speed,TPS,SteeringAngle,ECU_GForceLat,Lambda,MAP,FuelPressure,BrakePressure,EngineTemp,OilTemp,AirTemp,RadOutTemp,GPSlatHW,GPSlatLW,GPSlongHW,GPSlongLW,PneuDianteiroInner,PneuDianteiroCenter,PneuDianteiroOuter,PneuTraseiroInner,PneuTraseiroCenter,PneuTraseiroOuter
194498,1001,3,4,5,8,2,3,7,3,2057.0,521.0,15.37,0.263,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,77.4,102.5,76.9,51.3,2056.0,1033.0,2049.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0
194529,1010,7,6,2,4,3,1,8,1,2057.0,521.0,15.37,0.263,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,179.8,51.6,76.9,204.9,2056.0,1033.0,2049.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0
195026,1007,7,9,9,5,2,8,4,3,261.0,2057.0,15.45,0.52,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,263.0,2051.0,2056.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0
195057,1004,5,4,7,9,7,4,7,2,261.0,2057.0,15.45,0.52,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,263.0,2051.0,2056.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0
195274,1004,3,8,7,5,6,2,9,1,2305.0,518.0,7.71,1.026,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195305,1006,8,5,9,2,3,4,4,4,2305.0,518.0,7.71,1.026,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195398,1005,7,3,2,2,5,3,4,8,2305.0,518.0,7.71,1.026,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195429,1007,9,1,9,9,7,2,6,3,2305.0,518.0,7.71,1.026,77.2,128.8,51.5,1.795,1.797,179.5,2.054,17.93,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195615,1005,8,7,9,8,1,1,6,5,1801.0,1797.0,2.62,1.537,77.2,128.8,51.5,1.795,0.516,77.0,0.521,23.09,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195646,1002,4,1,2,1,8,2,6,4,1801.0,1797.0,2.62,1.537,77.2,128.8,51.5,1.795,1.025,51.3,2.05,15.4,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195770,1004,6,7,3,6,2,3,2,6,2055.0,1025.0,23.13,0.514,77.2,128.8,51.5,1.795,1.025,51.3,2.05,15.4,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
195801,1001,3,3,7,4,8,1,7,5,2055.0,1025.0,23.13,0.514,77.1,179.6,204.9,1.797,1.025,51.3,2.05,15.4,128.1,26.1,51.6,26.5,772.0,1545.0,514.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
196019,1008,7,9,5,9,7,2,3,1,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,0.518,154.0,1.541,2.64,128.1,26.1,51.6,26.5,1537.0,2055.0,2055.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0
196050,1005,9,8,8,4,3,2,8,9,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,0.518,154.0,1.541,2.64,128.1,26.1,51.6,26.5,1537.0,2055.0,2055.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0
196143,1004,3,4,7,5,1,7,3,6,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,0.518,154.0,1.541,2.64,128.1,26.1,51.6,26.5,1537.0,2055.0,2055.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0
196174,1008,2,7,8,9,7,3,7,4,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,0.518,154.0,1.541,2.64,128.1,26.1,51.6,26.5,1537.0,2055.0,2055.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0
196391,1002,7,7,7,7,3,5,8,7,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,2049.0,1032.0,1542.0,1795.0,0.0,0.0,0.0,0.0,0.0,0.0
196422,1006,1,8,8,8,6,1,8,7,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,2049.0,1032.0,1542.0,1795.0,0.0,0.0,0.0,0.0,0.0,0.0
196515,1005,4,1,3,4,2,3,9,4,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,1287.0,1289.0,1537.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0
196546,1004,7,9,8,1,2,9,4,4,1289.0,777.0,23.1,1.796,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,1287.0,1289.0,1537.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0
196732,1003,8,5,9,8,1,5,3,2,1544.0,1031.0,5.2,0.518,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
196763,1005,1,4,4,3,2,4,1,4,1544.0,1031.0,5.2,0.518,77.1,179.6,204.9,1.797,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
196887,1005,7,3,3,4,8,6,6,4,1544.0,1031.0,5.2,0.518,231.1,230.5,205.2,0.775,1.799,179.9,0.773,20.55,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
196918,1002,5,4,3,1,6,9,9,1,1544.0,1031.0,5.2,0.518,231.1,230.5,205.2,0.775,1.284,76.9,1.545,23.05,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
197136,1000,4,4,4,6,3,3,8,2,1028.0,1030.0,7.71,2.05,77.0,77.7,128.4,0.77,0.776,153.8,2.311,15.45,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
197167,1002,2,1,9,2,5,8,3,2,1028.0,1030.0,7.71,2.05,77.0,77.7,128.4,0.77,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
197260,1001,3,6,5,2,1,7,8,4,1028.0,1030.0,7.71,2.05,77.4,128.2,26.3,2.052,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,2053.0,2312.0,261.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
197291,1003,9,9,5,8,2,9,8,6,1028.0,1030.0,7.71,2.05,77.4,128.2,26.3,2.052,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,2313.0,1288.0,521.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0
197477,1008,8,3,1,6,7,1,5,2,1028.0,1030.0,7.71,2.05,77.4,128.2,26.3,2.052,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,2054.0,261.0,1543.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
197508,1008,5,7,3,8,5,6,2,2,1028.0,1030.0,7.71,2.05,77.4,128.2,26.3,2.052,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,2054.0,261.0,1543.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
197632,1004,4,5,5,2,3,1,3,6,1028.0,1030.0,7.71,2.05,205.6,102.8,128.9,0.519,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
197663,1004,3,7,8,3,9,4,6,1,1028.0,1030.0,7.71,2.05,205.6,102.8,128.9,0.519,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
197880,1006,2,3,7,9,1,6,8,3,1030.0,777.0,18.01,2.313,205.6,230.5,51.3,1.033,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
197911,1004,8,8,7,2,1,6,8,1,1030.0,777.0,18.01,2.313,205.6,230.5,51.3,1.033,0.513,230.6,1.288,7.7,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
198005,1005,7,1,4,1,7,6,9,7,1030.0,777.0,18.01,2.313,205.6,230.5,51.3,1.033,2.305,153.9,0.521,15.41,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
198036,1004,8,3,4,3,6,4,7,2,1030.0,777.0,18.01,2.313,205.6,230.5,51.3,1.033,2.305,153.9,0.521,15.41,205.7,128.9,77.7,231.0,260.0,1543.0,775.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
198284,1003,4,2,4,7,5,5,5,1,1030.0,777.0,18.01,2.313,230.7,77.0,154.3,0.258,1.545,128.6,2.31,10.31,205.7,128.9,77.7,231.0,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198315,1010,6,9,8,7,5,7,5,3,1030.0,777.0,18.01,2.313,230.7,77.0,154.3,0.258,1.545,128.6,2.31,10.31,154.5,205.5,128.7,128.3,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198346,1001,6,7,1,8,6,3,9,2,1030.0,777.0,18.01,2.313,154.3,26.4,153.9,2.306,1.545,128.6,2.31,10.31,154.5,205.5,128.7,128.3,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198377,1002,3,3,1,6,6,3,1,5,1030.0,777.0,18.01,2.313,154.3,26.4,153.9,2.306,0.771,26.2,1.539,2.61,154.5,205.5,128.7,128.3,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198656,1004,3,9,2,7,6,7,1,3,1793.0,2049.0,2.59,1.794,154.3,26.4,153.9,2.306,1.03,153.7,2.311,2.6,154.5,205.5,128.7,128.3,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198687,1010,2,6,1,9,1,9,9,6,1793.0,2049.0,2.59,1.794,154.3,26.4,153.9,2.306,1.03,153.7,2.311,2.6,51.8,26.5,26.5,231.0,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
904,1007,3,2,8,5,4,5,5,4,1801.0,776.0,7.77,0.52,128.8,179.4,180.0,0.261,1.03,153.7,2.311,2.6,51.8,26.5,26.5,231.0,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
198935,1004,9,9,8,5,3,5,6,4,1801.0,776.0,7.77,0.52,128.8,179.4,180.0,0.261,1.03,153.7,2.311,2.6,51.8,26.5,26.5,231.0,1026.0,1031.0,1285.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
199060,1008,8,7,9,8,2,4,2,5,1801.0,776.0,7.77,0.52,26.2,51.5,103.3,1.801,1.03,153.7,2.311,2.6,51.8,26.5,26.5,231.0,1286.0,1028.0,2050.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0
